Année,BC,AB,SK,MB,MCLO,ON,QC,NB,NS,PE,P5,NL,CA
2008,24.83,24.72,8.62,12.03,70.2,97.51,113.88,5.16,6.61,3.9,227.06,2,299.26
2009,24.77,24.66,8.6,12,70.03,96.91,113.18,5.12,6.56,3.87,225.66,1.83,297.51
2010,25.23,25.11,8.75,12.22,71.31,97.78,114.2,5.17,6.62,3.91,227.68,1.88,300.86
2011,26.08,25.95,9.04,12.62,73.69,100,116.77,5.29,6.77,3.99,232.83,2,308.52
2012,25.75,25.61,8.93,12.46,72.74,99.28,115.93,5.25,6.73,3.97,231.15,1.93,305.82
2013,25.83,25.7,8.95,12.5,72.98,99.91,116.19,5.27,6.75,3.98,232.11,1.89,306.99
2014,26.01,26.77,9.75,13.51,76.03,98.48,124.08,4.43,5.39,4.53,236.91,1.96,314.91
2015,26.68,27.65,9.86,13.84,78.04,100.82,126.54,4.33,5.41,4.55,241.64,1.97,321.65
2016,30.08,29.89,10.41,14.54,84.91,111.8,128.86,5.89,7.56,4.43,258.54,2.54,345.99
2017,32.58,32.37,11.28,15.75,91.98,118.61,136.71,6.25,8.02,4.7,274.29,2.69,368.96
